round,time,player,severity,punished,punish_damage_est,p1_health_pre,p1_health_post,p2_health_pre,p2_health_post,p1_health_delta,p2_health_delta,title,opponent_string
1,00:19.6,1,minor,False,0,0.04,0.016,0.0,0.0,0.024,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:18,2,minor,False,0,0.052,0.04,0.0,0.0,0.013,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:17.3,1,minor,False,0,0.044,0.051,0.0,0.0,-0.007,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:17.1,2,minor,False,0,0.044,0.049,0.0,0.0,-0.005,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:16.5,2,minor,False,0,0.044,0.034,0.0,0.0,0.01,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:16.3,1,minor,False,0,0.042,0.052,0.0,0.0,-0.01,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:16.1,1,minor,False,0,0.039,0.057,0.0,0.0,-0.018,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:14.5,2,minor,False,0,0.021,0.044,0.001,0.0,-0.022,0.001,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:14.1,2,minor,False,0,0.0,0.039,0.0,0.0,-0.039,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:14,1,minor,False,0,0.0,0.039,0.0,0.0,-0.039,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:13.9,1,minor,False,0,0.0,0.039,0.0,0.0,-0.039,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:11.4,2,minor,False,0,0.051,0.0,0.0,0.0,0.051,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:10,1,minor,False,0,0.034,0.042,0.0,0.001,-0.008,-0.001,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:09.5,1,minor,False,0,0.034,0.038,0.0,0.0,-0.004,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:08.9,2,minor,False,0,0.043,0.038,0.0,0.0,0.006,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:08.1,1,minor,False,0,0.049,0.034,0.0,0.0,0.015,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:06.7,2,minor,False,0,0.04,0.043,0.0,0.0,-0.004,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
